name,org,desc_url,download_url,file_types,size,status
,USGS,http://energy.usgs.gov/EnvironmentalAspects/EnvironmentalAspectsofEnergyProductionandUse/ProducedWaters.aspx#3822349-data,,".xlsx, .csv .Rdata",1 GB,
,NOAA/NGDC,https://www.ngdc.noaa.gov/metadata,https://www.ngdc.noaa.gov/metadata,"XML, KML, CSV, others",Unknown,
,EPA,https://www.epa.gov/ejscreen,ftp://newftp.epa.gov/EJSCREEN/,".csv, .pdf, .txt",1GB,Complete
,National Ecological Observatory Network (NEON),www.neonscience.org,data.neonscience.org,"CSV, XML",130,Complete
,EPA,SEMS (Superfund Enterprise Management System),https://www.epa.gov/superfund/superfund-data-and-reports,"csv, pdfs ",?,Complete
The many sets listed on these sites,NOAA mostly,http://research.bpcrc.osu.edu/Icecore/ ,http://research.bpcrc.osu.edu/Icecore/data/,,,
,NOAA,https://www.ncdc.noaa.gov/cdo/f?p=518:1:0:::APP:PROXYTOSEARCH:7,,,,
,EPA,AIRS Database. Air quality data ,Http,,1E+11,
,NASA,http://climate.nasa.gov/scientific-consensus/,,,,Done
,USBR,https://cida.usgs.gov/gdp/,ftp://gdo-dcp.ucllnl.org/pub/dcp/archive/,compressed netCDF,2000,Archive size is a very rough estimate. At least some of the content is duplicated at the USGS Geo Data Portal: https://cida.usgs.gov/gdp/
,NOAA HOMR (Historical Observing Metadata Repository),https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/coop-stations.txt,text,0.05,
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www1.ncdc.noaa.gov/pub/data/ghcn/daily/ghcnd-stations.txt,text,0.008,Started
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage3/recommended/results/INVENTORY_monthly_merged_stage3,text,0.005,
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/asos-stations.txt,text,0.0002,
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/lcd-stations.txt,text,0.02,
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/crn-stations.txt,text,0.03,
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/rcrn-stations.txt,text,0.01,Done
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/alrcrn-stations.txt,text,0.004,Done
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,ftp://ftp.ncdc.noaa.gov/pub/data/ushcn/v2.5/*,"tar.gz, text",0.052,
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/nexrad-stations.txt,text,0.03,Done
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,https://www.ncdc.noaa.gov/homr/file/awos-stations.txt,text,0.002,Done
,NOAA HOMR,https://www.ncdc.noaa.gov/homr/,ftp://ftp0.ncdc.noaa.gov/pub/data/igra/v2beta/igra2-station-list.txt,text,?,
Snow Telemetry (SNOTEL),NRCS,http://www.wcc.nrcs.usda.gov/snow/,")https://wcc.sc.egov.usda.gov/nwcc/tabget (Data can be downloaded by subbing in state name, station ID, and variable in the following url: https://wcc.sc.egov.usda.gov/reportGenerator/view_csv/customSingleStationReport/daily/NA::SNTL%7Cid=%22%22%7Cname/POR_BEGIN,POR_END/PREC::value",Flat files (.csv),~1 GB?,
