name,org,desc_url,download_url,file_types,size,status
Storm Events Database,NOAA,https://www.ncdc.noaa.gov/stormevents/details.jsp,ftp://ftp.ncdc.noaa.gov/pub/data/swdi/stormevents/csvfiles/,.csv,,In process as of 2016-12-14
Climatological Rankings wer,NOAA,https://www.ncdc.noaa.gov/temp-and-precip/climatological-rankings/,https://www.ncdc.noaa.gov/temp-and-precip/climatological-rankings/download.csv?parameter=tavg&state=110&div=0&month=11&periods[]=1&year=2013,,,
National Interagency Fire Center,NIFC,https://www.nifc.gov/fireInfo/fireInfo_statistics.html,,,"Depends on Crawl, < 1 GB",Done
National Snow and Ice Data Center,NSIDC,https://nsidc.org/data,,,,
Ocean Acidification Data Portal,NOAA,https://www.nodc.noaa.gov/oceanacidification/stewardship/data_assets.html,,,,"Pulled by FTP, hosting on Amazon Web Services"
NASA Earth Science Satellites ,NASA,http://daac.gsfc.nasa.gov,,,,
NASA Climate Consensus,NASA,http://climate.nasa.gov/scientific-consensus/,,,,CLAIMED 2016-12-14 Scraping content recursively and completely. Will be made available as offline-viewable content.
EPA Facility Level GHG emissions,EPA,https://www.epa.gov/ghgreporting/ghg-reporting-program-data-sets,,,,Done
NOAA Global Monitoring Division,NOAA,http://www.esrl.noaa.gov/gmd/dv/ftpdata.html,ftp://aftp.cmdl.noaa.gov/,,,Full backup will be mirrored to online storage.
USGS National Water Information System,USGS,http://waterdata.usgs.gov/nwis,,Txt,,"CLAIMED 2016-12-15, In process"
Water Quality Portal,NWQMC,https://www.waterqualitydata.us/,,,,In progress.  Begun at 2158 hours PST8PDT on 22 December 2016.
Science Base,USGS,https://www.sciencebase.gov/catalog/,,,,
California Data Exchange Center,California State Gov,http://cdec.water.ca.gov/,,,,
Goddard Earth Sciences Data and Information Services Center,NASA,http://daac.gsfc.nasa.gov/,,,,
Climate Change Atlas,US Forest Service,http://www.fs.fed.us/nrs/atlas/,,,,
NorWEST Stream Temperature Database,US Forest Service,http://www.fs.fed.us/rm/boise/AWAE/projects/NorWeST.html,,,,
NOAA National Data Buoy Center,NOAA,http://www.ndbc.noaa.gov/,,,,
USGS National Landcover Database,USGS,http://www.mrlc.gov/,,,,CLAIMED 2016-12-14
NASS Cropland Data Layer,USDA-NASS,https://nassgeodata.gmu.edu/CropScape/,,,,
NASA Sea Level Change Portal Data,NASA,https://sealevel.nasa.gov/data/data-search/,,,,
National Water and Climate Center,USDA-NRCS,http://www.wcc.nrcs.usda.gov,,,,
